movietitle_id|movietitle_value
1|American Beauty
3001|The Insider
4001|The Green Mile
5001|The Cider House Rules
6001|The Sixth Sense
7001|Gladiator
8001|Erin Brockovich
9001|Chocolat
10001|Crouching Tiger, Hidden Dragon
11001|Traffic
12001|A Beautiful Mind
13001|Gosford Park
14001|The Lord of the Rings: The Fellowship of the Ring
15001|In the Bedroom
16001|Moulin Rouge!
17001|Chicago
18001|Gangs of New York
19001|The Hours
20001|The Pianist
21001|The Lord of the Rings: The Two Towers
22001|The Lord of the Rings: The Return of the King
23001|Lost in Translation
24001|Master and Commander: The Far Side of the World
25001|Mystic River
26001|Seabiscuit
27001|Million Dollar Baby
28001|The Aviator
30001|Finding Neverland
31001|Ray
32001|Sideways
33001|Crash
34001|Brokeback Mountain
35001|Capote
36001|Good Night, and Good Luck.
37001|Munich
38001|The Departed
39001|Babel
40001|Letters from Iwo Jima
41001|Little Miss Sunshine
42001|The Queen
43001|No Country for Old Men
44001|Atonement
45001|Juno
46001|Michael Clayton
47001|There Will Be Blood
48001|Slumdog Millionaire
49001|Frost/Nixon
50001|The Curious Case of Benjamin Button
51001|Milk
52001|The Reader
53001|The Hurt Locker
54001|Up
55001|A Serious Man
56001|An Education
57001|Avatar
58001|District 9
59001|Inglourious Basterds
60001|Precious
61001|The Blind Side
62001|Up in the Air
63001|The King's Speech
64001|127 Hours
65001|Black Swan
66001|The Fighter
67001|Inception
68001|The Kids Are All Right
69001|The Social Network
70001|Toy Story 3
71001|True Grit
72001|Winter's Bone
73001|The Artist
74001|The Tree of Life
75001|The Descendants
76001|Extremely Loud & Incredibly Close
77001|The Help
78001|Argo
79001|Hugo
80001|Midnight in Paris
81001|Moneyball
82001|War Horse
83001|Amour
84001|Beasts of the Southern Wild
85001|Django Unchained
86001|Les Misérables
87001|Life of Pi
88001|Lincoln
89001|Silver Linings Playbook
90001|Zero Dark Thirty
91001|12 Years a Slave
92001|The Wolf of Wall Street
93001|American Hustle
94001|Nebraska
95001|Captain Phillips
96001|Philomena
97001|Dallas Buyers Club
98001|Gravity
99001|Her
100001|Birdman or (The Unexpected Virtue of Ignorance)
101001|American Sniper
102001|Boyhood
103001|The Imitation Game
104001|Selma
105001|The Grand Budapest Hotel
106001|The Theory of Everything
107001|Whiplash
114001|Beasts of No Nation
113001|Bridge of Spies
132001|Brooklyn
133001|Creed
134001|Carol
135001|Inside Out
136001|Sicario
137001|Room
138001|Tangerine
139001|The Martian
140001|The Big Short
141001|Straight Outta Compton
142001|Mad Max: Fury Road
